datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,snow,snowdepth,windgust,solarradiation,uvindex,sunriseEpoch,sunsetEpoch,moonphase,conditions,description,icon,source,City,Temp_Range,Heat_Index,Severity_Score,Day_of_Week,Is_Weekend,Health_Risk_Score,sunset_hour,sunrise_hour,sunrise_minute
1725692400.0,106.1,91.0,98.5,104.0,88.1,95.9,51.5,21.0,0.0,0.0,26.3,261.4,9.0,1725714410.0,1725759893.0,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,comb,Phoenix,15.099999999999994,95.91870310999995,4.43,Saturday,True,10.522170310999996,18,6,6
1725778800.0,103.9,87.0,95.4,100.5,84.7,92.3,48.7,21.5,0.0,0.0,20.8,293.3,9.0,1725800850.0,1725846212.0,0.19,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,16.900000000000006,92.28131624140006,3.88,Sunday,True,10.062331624140006,18,6,7
1725865200.0,105.0,83.9,94.7,99.9,81.6,90.6,41.7,16.9,0.0,0.0,18.3,327.0,9.0,1725887290.0,1725932530.0,0.22,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,21.099999999999994,90.5991651058291,3.63,Monday,False,9.67338651058291,18,6,8
1725951600.0,106.1,81.2,93.9,100.6,79.5,89.8,39.1,15.7,0.0,0.0,10.5,276.8,9.0,1725973729.0,1726018848.0,0.25,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,24.89999999999999,89.6388106900291,2.8512000000000004,Tuesday,False,9.411519469002911,18,6,8
1726038000.0,106.1,82.1,94.0,101.0,80.0,90.0,40.1,15.9,0.0,0.0,15.9,274.9,9.0,1726060169.0,1726105166.0,0.29,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,24.0,89.76041382170003,3.3908,Wednesday,False,9.515178582170003,18,6,9
1726124400.0,103.0,81.6,91.5,98.1,79.9,87.9,41.6,18.4,0.0,0.0,21.5,272.7,9.0,1726146609.0,1726191484.0,0.32,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,21.40000000000001,87.60290690670004,3.95,Thursday,False,9.487090690670003,18,6,10
1726210800.0,101.2,77.6,89.3,96.9,77.6,86.4,42.6,20.4,0.0,0.0,14.3,269.5,9.0,1726233049.0,1726277801.0,0.36,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,23.60000000000001,85.71988263588409,3.2300000000000004,Friday,False,9.23090826358841,18,6,10
1726297200.0,99.4,78.2,89.1,96.1,78.2,86.8,48.4,25.3,0.0,0.0,12.1,262.5,9.0,1726319489.0,1726364119.0,0.39,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,21.200000000000003,86.11250590362911,3.0104,Saturday,True,9.37288179036291,18,6,11
1726383600.0,100.1,82.1,92.0,100.6,81.5,92.3,60.3,35.8,0.0,0.0,19.0,259.9,8.0,1726405929.0,1726450436.0,0.42,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,18.0,92.16758603040012,3.5012,Sunday,True,10.470188203040012,18,6,12
1726470000.0,99.6,86.1,92.2,99.7,87.4,93.0,62.2,37.8,0.0,0.0,17.7,245.3,8.0,1726492369.0,1726536753.0,0.46,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,13.5,93.20895235529596,3.37,Monday,False,10.594755235529597,18,6,12
1726556400.0,100.7,85.7,92.2,98.5,85.2,91.2,57.3,31.8,0.0,0.0,21.5,246.5,8.0,1726578809.0,1726623070.0,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,fcst,Phoenix,15.0,91.13188727945612,3.75,Tuesday,False,10.305688727945611,18,6,13
1726642800.0,98.3,83.2,90.1,93.5,80.7,86.4,39.2,17.4,0.0,0.0,15.7,267.3,9.0,1726665249.0,1726709387.0,0.52,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,15.099999999999994,86.20360304705606,3.37,Wednesday,False,9.206740304705606,18,6,14
1726729200.0,97.4,81.8,89.1,92.2,79.6,85.3,29.0,12.4,0.0,0.0,12.5,271.1,9.0,1726751690.0,1726795704.0,0.56,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,15.600000000000009,85.14708197583606,3.05,Thursday,False,8.892908197583605,18,6,14
1726815600.0,94.6,82.5,87.9,89.9,80.1,84.4,35.5,15.8,0.0,0.0,15.4,175.8,6.0,1726838130.0,1726882021.0,0.59,Overcast,Cloudy skies throughout the day.,cloudy,fcst,Phoenix,12.099999999999994,84.20944151646408,2.7404,Friday,False,8.853927351646409,18,6,15
1726902000.0,93.6,77.4,85.8,89.0,77.4,83.1,28.7,13.7,0.0,0.0,14.1,268.6,9.0,1726924570.0,1726968339.0,0.63,Clear,Clear conditions throughout the day.,clear-day,fcst,Phoenix,16.19999999999999,82.48084148677607,3.21,Saturday,True,8.687854148677607,18,6,16
1725692400.0,89.0,62.1,73.3,88.6,62.1,73.3,59.8,66.3,0.0,0.0,16.1,267.7,9.0,1725716611.0,1725762394.0,0.16,Clear,Clear conditions throughout the day.,clear-day,comb,San Jose,26.9,75.84249614266135,3.41,Saturday,True,9.845079614266137,19,6,43
