name,MAE,MSE,R2_Score,Adjusted,Train_Score,Test_Score,Time
ExtraTreesRegressor,0.059884609126181765,0.005853292226193307,0.9852902766904833,0.9781549631448222,0.9867478777230676,0.9290373900411211,8.920241355895996
BayesianRidge,0.08490805731740483,0.012732714899882066,0.9680018174527342,0.9524803109932396,0.970762942721121,0.9544382791747866,4.587511777877808
ElasticNetCV,0.0857724498346521,0.013146569011011917,0.9669617737935463,0.9509357685441471,0.9708681571118672,0.9582659971290044,2.5679800510406494
ARDRegression,0.08655236236447472,0.013253728040989116,0.9666924758292268,0.9505358409702697,0.9708277037679766,0.9560993961770692,1.1189930438995361
BaggingRegressor,0.08216367502720832,0.01609920016409635,0.9595416099577869,0.9399162715044747,0.9666807101066782,0.8658828769259379,1.7200043201446533
ExtraTreeRegressor,0.08815171747818244,0.018233379463510554,0.9541782715536666,0.9319513137252213,0.9579496743978897,0.8407172425713518,0.10799384117126465
DecisionTreeRegressor,0.09672918229383722,0.0200449856429775,0.949625581440824,0.9251902291546565,0.9404321251644507,0.7147220535974959,0.24600601196289062
AdaBoostRegressor,0.14770027063220723,0.033582288857015606,0.9156054134839893,0.8746677409202528,0.9168291797402617,0.8844300496682692,3.6899917125701904
DummyRegressor,0.5486640789415027,0.40773160173533185,-0.024657374739230242,-0.521692668456021,-0.0009353670836944605,-0.002351969904033302,0.019997596740722656
ElasticNet,0.5486640789415027,0.40773160173533185,-0.024657374739230242,-0.521692668456021,-0.0009353670836944605,-0.002351969904033302,0.06100201606750488
